area,offline_ap,joint_ap,delta_ap,offline_ap50,joint_ap50,delta_ap50
all,0.26824096022268473,0.26824096022268473,0.0,0.46156767065293797,0.46156767065293797,0.0
small,0.19550431858754083,0.19550431858754083,0.0,0.3893161794766374,0.3893161794766374,0.0
medium,0.34809084382891375,0.34809084382891375,0.0,0.5532068049902699,0.5532068049902699,0.0
large,0.44085237519786036,0.44085237519786036,0.0,0.6136506537447907,0.6136506537447907,0.0
