variant,label,map50_mean,map50_std,map50_95_mean,map50_95_std,small_ap_mean,small_ap_std,small_ap50_mean,small_ap50_std,medium_ap_mean,medium_ap_std,large_ap_mean,large_ap_std,parameters,gflops
control,MF-FPN equal concat,0.3672191551192873,0.001082302485180726,0.2135747683232101,0.0022599092267778904,0.12957755579405741,0.002458450333408264,0.2685045946263756,0.004440569352972153,0.31881499154836423,0.001688714449032315,0.3856278685311536,0.00581637044924517,3169422,24.5231616
weighted,MF-FPN adaptive weighted concat,0.36506172245500307,0.002450856571807739,0.2121001725067987,0.0017273622004248723,0.12812530259621427,0.002013914662500827,0.2645180879770733,0.003952380826939563,0.317457952606309,0.0017101090135181426,0.38524396012893214,0.013312217259013652,3169430,24.5231616
