seed,node,branch_1,branch_1_weight,branch_2,branch_2_weight
0,TD P3,upsampled P4,0.7368192076683044,lateral P3,1.2631807327270508
0,TD P2,upsampled P3,1.2847802639007568,lateral P2,0.7152198553085327
0,BU P3,downsampled P2,1.089554786682129,top-down P3,0.9104452729225159
0,BU P4,downsampled P3,1.0066784620285034,deep P4,0.9933216571807861
1,TD P3,upsampled P4,0.7682619690895081,lateral P3,1.2317379713058472
1,TD P2,upsampled P3,1.279921531677246,lateral P2,0.7200784683227539
1,BU P3,downsampled P2,1.0842427015304565,top-down P3,0.9157573580741882
1,BU P4,downsampled P3,1.00249445438385,deep P4,0.9975056052207947
2,TD P3,upsampled P4,0.7653952836990356,lateral P3,1.2346047163009644
2,TD P2,upsampled P3,1.2824382781982422,lateral P2,0.7175618410110474
2,BU P3,downsampled P2,1.0865166187286377,top-down P3,0.9134833216667175
2,BU P4,downsampled P3,1.0044798851013184,deep P4,0.9955201745033264
