seed,variant,label,completed_epochs,best_epoch,training_peak_map50_95,precision,recall,map50,map50_95,small_ap,small_ap50,medium_ap,large_ap,parameters,gflops,checkpoint_sha256
0,control,MF-FPN equal concat,50,50,0.21007,0.4828423516241763,0.38364953498921295,0.36597005618418665,0.2114465578808743,0.12718200847722363,0.2639785764984524,0.316867879217753,0.39212652508534945,3169422,24.5231616,821ac82e594d9afe8b3e645841fc26cd083ba53e52a7b39a13c3f9d959623470
0,weighted,MF-FPN adaptive weighted concat,50,50,0.21263,0.4924500750992552,0.38224845619826675,0.36741119572635894,0.21371738595772694,0.12959379935136603,0.2664762690537724,0.3173575685618661,0.39856816889031704,3169430,24.5231616,8da2cf98ff2287947e226cbd8c2132a251e9d7d8028a5f562ae3e2421e85402c
1,control,MF-FPN equal concat,50,48,0.21222,0.4935994024454432,0.3829472262325343,0.3678782380079848,0.21333111594140808,0.12945624157388436,0.2686807337595945,0.319879770897986,0.38384679174675285,3169422,24.5231616,4bb805b2942a8eb1f4f6c972d6a572be5ea3f4cb3d5ddbef914a8f3e1ec7f741
1,weighted,MF-FPN adaptive weighted concat,50,50,0.20923,0.49170733405458655,0.3772347447117161,0.3625207210404622,0.21028050413036603,0.12582948762450372,0.25996891909864456,0.31921604249457275,0.37194376686562775,3169430,24.5231616,be45ba7e555a5bd7d3e7ada3c8a042e63de3b93f0bd624a9c6a98ad372a0b895
2,control,MF-FPN equal concat,50,50,0.21539,0.49572861160608195,0.38370104392948595,0.36780917116569056,0.21594663114734786,0.1320944173310643,0.27285447362108,0.3196973245293537,0.3809102887613584,3169422,24.5231616,ddc295537c39cd7c218ce8d57dda2d8ab7bb8f06dfd6ef4307eda379f477d19a
2,weighted,MF-FPN adaptive weighted concat,50,50,0.21158,0.4983632532355683,0.37595293618032316,0.3652532505981881,0.2123026274323031,0.1289526208127731,0.26710907577880294,0.3158002467624881,0.38521994463085163,3169430,24.5231616,9e15ed7a0f24198eaff140a9f4e1e72fbed3fd7f69b346f339087e94def35bb5
