seed,control_map50,weighted_map50,delta_map50,control_map50_95,weighted_map50_95,delta_map50_95,control_small_ap,weighted_small_ap,delta_small_ap,control_small_ap50,weighted_small_ap50,delta_small_ap50,control_medium_ap,weighted_medium_ap,delta_medium_ap,control_large_ap,weighted_large_ap,delta_large_ap
0,0.36597005618418665,0.36741119572635894,0.0014411395421722872,0.2114465578808743,0.21371738595772694,0.002270828076852638,0.12718200847722363,0.12959379935136603,0.0024117908741423943,0.2639785764984524,0.2664762690537724,0.002497692555320008,0.316867879217753,0.3173575685618661,0.0004896893441130867,0.39212652508534945,0.39856816889031704,0.0064416438049675895
1,0.3678782380079848,0.3625207210404622,-0.005357516967522624,0.21333111594140808,0.21028050413036603,-0.0030506118110420477,0.12945624157388436,0.12582948762450372,-0.00362675394938064,0.2686807337595945,0.25996891909864456,-0.008711814660949946,0.319879770897986,0.31921604249457275,-0.0006637284034132773,0.38384679174675285,0.37194376686562775,-0.011903024881125102
2,0.36780917116569056,0.3652532505981881,-0.0025559205675024788,0.21594663114734786,0.2123026274323031,-0.0036440037150447524,0.1320944173310643,0.1289526208127731,-0.0031417965182912178,0.27285447362108,0.26710907577880294,-0.005745397842277067,0.3196973245293537,0.3158002467624881,-0.0038970777668655976,0.3809102887613584,0.38521994463085163,0.004309655869493223
