key,method,source,all_ap,all_ap50,small_ap,small_ap50,small_ar,medium_ap,large_ap,latency_ms,p95_latency_ms,fps,trigger_rate,mean_selected_tiles,tile_reduction_ratio,peak_gpu_memory_mb
whole,Whole-640,baseline,0.23505399670695576,0.3951875742812902,0.1474935815234538,0.29862327047086307,0.24463333777209595,0.34096381092484357,0.4529424896481316,26.348818612202532,32.22059000108855,37.95236571012277,0.0,1.0,0.0,122.6474609375
full_scale48,Full Scale-48,upper_bound,0.26824096022268473,0.46156767065293797,0.19550431858754083,0.3893161794766374,0.3334899613995716,0.34809084382891375,0.44085237519786036,35.12863722590757,40.586634978535585,28.466803126154133,1.0,1.917883211678832,0.0,1088.1025390625
top1,Top-1,gate,0.26550792966771924,0.45659610819238244,0.19305162310588403,0.3854404457123589,0.32573012208654234,0.3455495185938704,0.44086257282942337,31.719069706996645,37.05125497072004,31.5267758240532,0.9817518248175182,0.9817518248175182,0.4881065651760228,304.82666015625
gate_q20,Gate-Q20,gate,0.2652654506186463,0.45641095153906236,0.19255302876474253,0.38439614616317347,0.32452314748658756,0.3455486820593965,0.44086257282942337,25.627214964721386,31.708540007821284,39.021017358952484,0.8959854014598541,0.8959854014598541,0.532825880114177,304.82666015625
gate_q30,Gate-Q30,gate,0.26487166699480535,0.45553171470766174,0.19190932818851264,0.3831967783196104,0.32320178826299384,0.34524744985128925,0.4408623518318463,24.36010638750277,30.73499498423189,41.05072383891641,0.843065693430657,0.843065693430657,0.5604186489058041,304.82666015625
