key,method,delta_all_ap_vs_full,delta_small_ap_vs_full,delta_small_ar_vs_full,delta_medium_ap_vs_full,delta_large_ap_vs_whole,latency_reduction_vs_full
top1,Top-1,-0.0027330305549654876,-0.0024526954816568025,-0.00775983931302926,-0.002541325235043357,-0.012079916818708236,0.09705948730616698
gate_q20,Gate-Q20,-0.0029755096040384177,-0.0029512898227982975,-0.00896681391298404,-0.0025421617695172705,-0.012079916818708236,0.27047511692764525
gate_q30,Gate-Q30,-0.0033692932278793775,-0.0035949903990281917,-0.01028817313657776,-0.0028433939776245087,-0.012080137816285308,0.30654564733478884
