key,method,delta_all_ap,delta_small_ap,delta_small_ap50,delta_small_ar,delta_medium_ap,delta_large_ap
sahi960,SAHI-960,0.0025303859664776718,0.03914714990347909,0.07219858373656851,0.07179544272940136,-0.03952977156963189,-0.18275090259665455
union_all,Union-All,0.030282780577971236,0.047848152888655654,0.09041089803695046,0.0882115973928545,0.00600227081514626,-0.03118242142757499
scale_32,Scale-32,0.028356874559929413,0.04492675922511019,0.08560061616909453,0.08783226075134432,0.0018027004416123482,-0.01207805546348445
scale_48,Scale-48,0.03318696351572897,0.04801073706408704,0.09069290900577431,0.08885662362747565,0.007127032904070185,-0.01209011445027125
