key,method,all_ap,all_ap50,small_ap,small_ap50,small_ar,medium_ap,large_ap,estimated_latency_ms,estimated_fps,mean_fusion_ms,kept_whole,kept_sahi
whole,Whole-640,0.23505399670695576,0.3951875742812902,0.1474935815234538,0.29862327047086307,0.24463333777209595,0.34096381092484357,0.4529424896481316,26.348818612202532,37.95236571012277,0.0,,
sahi960,SAHI-960,0.23758438267343343,0.42167240277494233,0.18664073142693288,0.3708218542074316,0.3164287805014973,0.3014340393552117,0.27019158705147706,32.976399087873936,30.324717909170364,0.0,,
union_all,Union-All,0.265336777284927,0.4587884264915425,0.19534173441210945,0.3890341685078135,0.33284493516495045,0.34696608173998983,0.4217600682205566,59.964877190017376,16.676428717283766,0.6396594899409132,62399,96182
scale_32,Scale-32,0.26341087126688517,0.45568758963528994,0.19242034074856398,0.3842238866399576,0.33246559852344026,0.3427665113664559,0.44086443418464716,59.896572628976216,16.695446101639366,0.5713549288997536,74420,79254
scale_48,Scale-48,0.26824096022268473,0.46156767065293797,0.19550431858754083,0.3893161794766374,0.3334899613995716,0.34809084382891375,0.44085237519786036,59.94184616694811,16.68283618116853,0.6166284668716486,67835,88964
