stage,class_id,class_name,area,ap,ap50,ap75,ar_max_det
mffpn,4,van,medium,0.4714413641742431,0.6275820241471146,0.5618583883461543,0.6526543878656554
mffpn,4,van,large,0.5379913111715396,0.6302856858453706,0.5993052965738738,0.7417391304347826
mffpn,5,truck,all,0.2500225900208532,0.3904770284411532,0.2675629454282586,0.4033333333333333
mffpn,5,truck,small,0.10273950781686277,0.20292090482675557,0.08391854235438594,0.2449826989619377
mffpn,5,truck,medium,0.29740995818801846,0.45093836988972585,0.3253840982928101,0.4574866310160428
mffpn,5,truck,large,0.5383801808592343,0.7420695672451725,0.6321709083054975,0.6965517241379311
mffpn,6,tricycle,all,0.15154083891697676,0.2697587065631105,0.16188105863660504,0.3310047846889952
mffpn,6,tricycle,small,0.11749487914861967,0.2195856850521533,0.11801080094346986,0.26827697262479877
mffpn,6,tricycle,medium,0.20807750956364504,0.35042974678769045,0.23097815140671593,0.4218446601941748
mffpn,6,tricycle,large,0.28033290285550294,0.452970297029703,0.3260726072607261,0.4583333333333332
mffpn,7,awning-tricycle,all,0.07597097492780473,0.12095316564667366,0.08290489781244231,0.2845864661654135
mffpn,7,awning-tricycle,small,0.05504530046039764,0.09770527161418492,0.05387603189288594,0.2216393442622951
mffpn,7,awning-tricycle,medium,0.11156995785122872,0.16055697206766828,0.1298698363481733,0.3711711711711712
mffpn,7,awning-tricycle,large,0.1879387938793879,0.24392439243924383,0.24392439243924383,0.28
mffpn,8,bus,all,0.4151430457759232,0.5654388311777406,0.503851207802051,0.4796812749003984
mffpn,8,bus,small,0.18312939593254762,0.28532702282300204,0.2254131965820614,0.2637931034482759
mffpn,8,bus,medium,0.5404891598900294,0.7485475430008145,0.6675177126244598,0.6106796116504855
mffpn,8,bus,large,0.7943217992296815,0.9361358942911835,0.9361358942911835,0.840625
mffpn,9,motor,all,0.22755658587429672,0.49804010053670295,0.16305113118927142,0.3917314776913631
mffpn,9,motor,small,0.20153358562181412,0.46781200432529796,0.12769085693833565,0.361437908496732
mffpn,9,motor,medium,0.34354171119341304,0.6473703284390433,0.3182025542459181,0.5249722530521643
mffpn,9,motor,large,0.14376594076179777,0.36951159646857135,0.10387788778877886,0.48571428571428565
lscd,0,pedestrian,all,0.2220378816766124,0.4818938859410446,0.1669112704176854,0.34269561284486655
lscd,0,pedestrian,small,0.18589007331692212,0.43146378726309353,0.12543029275292217,0.3103279111799639
lscd,0,pedestrian,medium,0.44823133159309164,0.797008511970888,0.43554083489702344,0.568093023255814
lscd,0,pedestrian,large,0.6685300313218386,0.9039292087103447,0.7683469651312956,0.7304347826086957
lscd,1,people,all,0.14189903978710175,0.36167476701322915,0.07603063215584453,0.2770731707317073
lscd,1,people,small,0.13346311810142,0.35061862715582914,0.06773065114779979,0.2598790757935651
lscd,1,people,medium,0.23507061322107028,0.5127893329581711,0.18199202840006143,0.43946830265848663
lscd,1,people,large,0.12530700559821117,0.2814137824038815,0.051768033946251776,0.5599999999999999
lscd,2,bicycle,all,0.055836431434048636,0.13014261736086769,0.03517043469950621,0.20341880341880342
lscd,2,bicycle,small,0.03765051371647637,0.09395848637979261,0.01799462990329851,0.15849952516619184
lscd,2,bicycle,medium,0.1400155626062197,0.2944952483027296,0.10236560631665809,0.40865800865800866
lscd,2,bicycle,large,0.00891089108910891,0.019801980198019802,0.0,0.16666666666666666
lscd,3,car,all,0.5625250086246625,0.8151912481100239,0.6267399246808074,0.641744880546075
lscd,3,car,small,0.380077849063796,0.6757517738291432,0.38809453433362345,0.4918379160636758
lscd,3,car,medium,0.7065267702488695,0.9233848980219785,0.8274440604135722,0.7735215686274509
lscd,3,car,large,0.8466457829616861,0.9600631794394708,0.9258065795354048,0.893581514762516
lscd,4,van,all,0.31751969399267305,0.45065969366329217,0.3636354019746348,0.510126582278481
lscd,4,van,small,0.13880209875317542,0.2469664697088727,0.14278750516069705,0.3336179295624333
lscd,4,van,medium,0.46772597181455333,0.6272494502163984,0.5531518704146047,0.6560130010834236
lscd,4,van,large,0.5388323282943658,0.620692538297897,0.6042282847191515,0.7773913043478261
lscd,5,truck,all,0.23947336279594808,0.37088307274354076,0.2665146007662613,0.40853333333333336
lscd,5,truck,small,0.11105532611614474,0.21367064615736664,0.09340734216170651,0.2529411764705882
lscd,5,truck,medium,0.2698382774224933,0.4073090475669693,0.31102963866017896,0.45828877005347585
lscd,5,truck,large,0.5377438910887585,0.7279088873527858,0.6533430454539229,0.7114942528735633
lscd,6,tricycle,all,0.1414044479950263,0.25204265984876956,0.1453881123009734,0.33368421052631586
lscd,6,tricycle,small,0.11558732013625884,0.22000816814641833,0.11061469203114013,0.27230273752012885
lscd,6,tricycle,medium,0.18389980543366374,0.30998392590940754,0.19837686057405038,0.41893203883495145
lscd,6,tricycle,large,0.4492564613604217,0.594020830654494,0.5376709099481377,0.5833333333333333
lscd,7,awning-tricycle,all,0.08256048758830392,0.12597783207891092,0.09499783922483146,0.293609022556391
lscd,7,awning-tricycle,small,0.05563028018419302,0.0958746147892621,0.060499195629606886,0.22459016393442624
lscd,7,awning-tricycle,medium,0.12164248544369928,0.17051113616564112,0.14250439506620902,0.3815315315315316
lscd,7,awning-tricycle,large,0.3081518151815182,0.45544554455445535,0.45544554455445535,0.6000000000000001
lscd,8,bus,all,0.4025495316352925,0.5579964370031014,0.46645554854061116,0.48844621513944225
lscd,8,bus,small,0.17580407637197437,0.2932978225864334,0.19041759424171614,0.2603448275862069
lscd,8,bus,medium,0.5109224370960093,0.7115621242237998,0.6017835428998722,0.6300970873786408
lscd,8,bus,large,0.8141825016641155,0.9457868863809458,0.9435020425119435,0.859375
lscd,9,motor,all,0.2211569866672498,0.4938310145012884,0.157604926844156,0.3852435530085959
lscd,9,motor,small,0.19283249663233884,0.46062983305230987,0.1173954339785443,0.35286576168929107
lscd,9,motor,medium,0.3373334093171448,0.6466620012925755,0.315621876291218,0.5277469478357381
lscd,9,motor,large,0.2743538535742546,0.44261850668373687,0.2645989088704789,0.45714285714285713
full,0,pedestrian,all,0.22723256116927423,0.4938633223965307,0.17057779406047524,0.345273631840796
full,0,pedestrian,small,0.19182500453211815,0.44310159289114137,0.12634837780410688,0.31372321198037695
full,0,pedestrian,medium,0.4558578520862501,0.8186201374814933,0.45049733156444705,0.5642790697674418
full,0,pedestrian,large,0.6849348542582819,0.9574601311137939,0.7839102989246294,0.7434782608695654
full,1,people,all,0.14461244691195646,0.3680222633868722,0.0803482433385011,0.27802926829268293
