stage,display_name,best_epoch_from_training,training_time_hours,precision,recall,mAP50,mAP50_95,parameters,gflops_640,inference_ms_per_image,checkpoint_sha256
baseline,YOLOv11s,88,6.517805555555555,0.5322290181752025,0.3976541170109072,0.39640905176785135,0.2323135895861929,9431662,21.5629312,1.7925317502872895,f9a5cbac916056afd7679518264185bcf61fdff566965fbc5e21120d26616d78
mffpn,+ MF-FPN,139,3.6057222222222225,0.5488156641041949,0.4098233808163979,0.41079229593891053,0.242701599186107,3169422,24.5231616,1.572284121814109,8bc8930ed8baca6df67ead660f0f158c1057a36755d7351af10f018d958c53ae
lscd,+ LSCD,142,5.213555555555556,0.5320024726394249,0.414448403044434,0.40241502227235504,0.2365901753233678,2772349,19.1901696,1.366069340690916,33e940851e8afd5279d38e21a5bde3ac73e8a6598fd64458891402042d8e08f1
full,+ Inner-WIoU,140,3.709277777777778,0.5297848706100825,0.4229965647392245,0.41397178721359984,0.24337942094581716,2772349,19.1901696,1.3807863137263288,fb4484511d08c825bb112797c86fc0725ce6e05d8cf663576c7d74c25608689d
