variant,label,completed_epochs,best_epoch,training_peak_map50,training_peak_map50_95,precision,recall,map50,map50_95,small_ap,small_ap50,medium_ap,large_ap,parameters,gflops,checkpoint_sha256
control,MF-FPN equal concat,50,50,0.3645,0.21007,0.4828423516241763,0.38364953498921295,0.36597005618418665,0.2114465578808743,0.12718200847722363,0.2639785764984524,0.316867879217753,0.39212652508534945,3169422,24.5231616,821ac82e594d9afe8b3e645841fc26cd083ba53e52a7b39a13c3f9d959623470
weighted,MF-FPN adaptive weighted concat,50,50,0.36672,0.21263,0.4924500750992552,0.38224845619826675,0.36741119572635894,0.21371738595772694,0.12959379935136603,0.2664762690537724,0.3173575685618661,0.39856816889031704,3169430,24.5231616,8da2cf98ff2287947e226cbd8c2132a251e9d7d8028a5f562ae3e2421e85402c
