variant,batch_index,source_index,objective,parameter_group,pair,cosine,left_norm,right_norm,left_targets,right_targets,left_loss,right_loss
full_control,0,1,localization,shared_features,small-medium,0.09026283770799637,8.204856872558594,4.2083282470703125,50,76,17.7936053276062,13.698503494262695
full_control,0,1,localization,shared_features,small-large,0.023538053035736084,8.204856872558594,23.219318389892578,50,6,17.7936053276062,85.5672254562378
full_control,0,1,localization,shared_features,medium-large,0.07156284898519516,4.2083282470703125,23.219318389892578,76,6,13.698503494262695,85.5672254562378
full_control,0,1,localization,shared_predictors,small-medium,-0.03262934461236,4.807755947113037,2.9170281887054443,50,76,17.7936053276062,13.698503494262695
full_control,0,1,localization,shared_predictors,small-large,-0.018275968730449677,4.807755947113037,19.463268280029297,50,6,17.7936053276062,85.5672254562378
full_control,0,1,localization,shared_predictors,medium-large,0.30033597350120544,2.9170281887054443,19.463268280029297,76,6,13.698503494262695,85.5672254562378
full_control,0,1,localization,deep_backbone,small-medium,0.008413138799369335,18.799297332763672,15.032273292541504,50,76,17.7936053276062,13.698503494262695
full_control,0,1,localization,deep_backbone,small-large,0.0037455090787261724,18.799297332763672,114.49944305419922,50,6,17.7936053276062,85.5672254562378
full_control,0,1,localization,deep_backbone,medium-large,0.24510827660560608,15.032273292541504,114.49944305419922,76,6,13.698503494262695,85.5672254562378
full_control,0,1,localization,neck,small-medium,-0.0050824531354010105,17.53363037109375,15.07555866241455,50,76,17.7936053276062,13.698503494262695
full_control,0,1,localization,neck,small-large,0.006916125304996967,17.53363037109375,111.06011199951172,50,6,17.7936053276062,85.5672254562378
full_control,0,1,localization,neck,medium-large,-0.0421147458255291,15.07555866241455,111.06011199951172,76,6,13.698503494262695,85.5672254562378
full_control,0,1,total,shared_features,small-medium,0.7923257946968079,62.45952606201172,21.439329147338867,50,76,17.7936053276062,13.698503494262695
full_control,0,1,total,shared_features,small-large,0.9483921527862549,62.45952606201172,625.93408203125,50,6,17.7936053276062,85.5672254562378
full_control,0,1,total,shared_features,medium-large,0.8785129189491272,21.439329147338867,625.93408203125,76,6,13.698503494262695,85.5672254562378
full_control,0,1,total,shared_predictors,small-medium,0.6289467215538025,25.652650833129883,10.562848091125488,50,76,17.7936053276062,13.698503494262695
full_control,0,1,total,shared_predictors,small-large,0.9217972755432129,25.652650833129883,289.96978759765625,50,6,17.7936053276062,85.5672254562378
full_control,0,1,total,shared_predictors,medium-large,0.8356446623802185,10.562848091125488,289.96978759765625,76,6,13.698503494262695,85.5672254562378
full_control,0,1,total,deep_backbone,small-medium,0.38457584381103516,81.20997619628906,31.577117919921875,50,76,17.7936053276062,13.698503494262695
full_control,0,1,total,deep_backbone,small-large,0.8322176933288574,81.20997619628906,707.8781127929688,50,6,17.7936053276062,85.5672254562378
full_control,0,1,total,deep_backbone,medium-large,0.561579704284668,31.577117919921875,707.8781127929688,76,6,13.698503494262695,85.5672254562378
full_control,0,1,total,neck,small-medium,0.4337156116962433,77.11186218261719,30.22207260131836,50,76,17.7936053276062,13.698503494262695
full_control,0,1,total,neck,small-large,0.8666872382164001,77.11186218261719,707.6708374023438,50,6,17.7936053276062,85.5672254562378
full_control,0,1,total,neck,medium-large,0.44953182339668274,30.22207260131836,707.6708374023438,76,6,13.698503494262695,85.5672254562378
full_control,1,2,localization,shared_features,small-medium,-0.19796857237815857,8.897940635681152,4.2461371421813965,46,56,24.06693410873413,13.261765956878662
full_control,1,2,localization,shared_features,small-large,-0.0656251311302185,8.897940635681152,18.717031478881836,46,11,24.06693410873413,44.78904342651367
full_control,1,2,localization,shared_features,medium-large,0.22775998711585999,4.2461371421813965,18.717031478881836,56,11,13.261765956878662,44.78904342651367
full_control,1,2,localization,shared_predictors,small-medium,-0.4113617241382599,6.119820594787598,3.117659330368042,46,56,24.06693410873413,13.261765956878662
full_control,1,2,localization,shared_predictors,small-large,-0.06536011397838593,6.119820594787598,11.21963119506836,46,11,24.06693410873413,44.78904342651367
full_control,1,2,localization,shared_predictors,medium-large,0.2707171142101288,3.117659330368042,11.21963119506836,56,11,13.261765956878662,44.78904342651367
full_control,1,2,localization,deep_backbone,small-medium,-0.1869450956583023,30.38348960876465,16.71906852722168,46,56,24.06693410873413,13.261765956878662
full_control,1,2,localization,deep_backbone,small-large,-0.06953280419111252,30.38348960876465,114.14556884765625,46,11,24.06693410873413,44.78904342651367
