seed,precision,recall,mAP50,mAP50_95,small_ap,medium_ap,large_ap
0,-0.2444147565120005,2.5342447728317268,1.756273544574853,1.1065831359624276,2.0926734840920407,-0.017670377821985994,-2.1217175318477004
1,1.467617589362149,0.6307046971976362,1.3104572881325822,0.6703226951176191,1.3816479023569936,-0.08142170949076899,-1.0880510860267165
2,1.1238865629904495,0.9060187060393048,0.9997725278348213,0.5696736877392183,1.5570187123030141,-0.6429849104318919,-5.1307796340254015
