seed,variant,precision,recall,mAP50,mAP50_95,small_ap,medium_ap,large_ap,parameters_m,gflops
0,baseline,53.22290181752025,39.76541170109072,39.64090517678513,23.23135895861929,13.523250761568246,35.256959485678905,48.1655661436454,9.431662,21.5629312
0,full,52.97848706100825,42.29965647392245,41.397178721359985,24.337942094581717,15.615924245660286,35.23928910785692,46.0438486117977,2.772349,19.1901696
1,baseline,52.23767725602205,40.125324424123235,39.47837887282969,23.168335362605898,13.830561197111313,34.92641940390166,45.04787620746569,9.431662,21.5629312
1,full,53.7052948453842,40.75602912132087,40.78883616096227,23.838658057723517,15.212209099468307,34.84499769441089,43.959825121438975,2.772349,19.1901696
2,baseline,52.560505315880036,40.508546309723236,39.78686225667075,23.330388350724178,13.985268236429652,35.094205635798474,47.975225957212906,9.431662,21.5629312
2,full,53.684391878870485,41.41456501576254,40.78663478450557,23.900062038463396,15.542286948732666,34.45122072536658,42.844446323187505,2.772349,19.1901696
