variant,label,delta_map50,delta_map50_95,delta_small_ap,delta_small_ap50,delta_medium_ap,delta_large_ap,delta_parameters,delta_gflops
nwd,NWD,-0.007977904719552953,-0.004677300870178341,-0.009928491520397431,-0.017018523929916263,-0.0006134472182757755,0.06488464961970614,0,0.0
hybrid,50% Inner-WIoU + 50% NWD,-0.0030391706608555724,-0.002070959296424174,-0.0030701178011867114,-0.004922136754321793,-0.0006679646535913131,0.04078084375774632,0,0.0
