variant,label,completed_epochs,best_epoch,training_peak_map50,training_peak_map50_95,precision,recall,map50,map50_95,small_ap,small_ap50,medium_ap,large_ap,parameters,gflops,checkpoint_sha256
inner_wiou,Inner-WIoU,50,50,0.36215,0.20629,0.4914043865936361,0.378005382714827,0.3621033441052083,0.20626271934709522,0.12929104343591366,0.27176178551550956,0.30375436254212934,0.3519588295693475,2772349,19.1901696,194a116e4939e0df72f9232d03b0c0a26f96bd844d7a344bc8f908a9041f1b59
nwd,NWD,50,50,0.35401,0.20149,0.4736877671790003,0.38133965568125905,0.3541254393856553,0.20158541847691688,0.11936255191551623,0.2547432615855933,0.30314091532385357,0.4168434791890536,2772349,19.1901696,e18eb09243b58a98bd34d135e215048d691be3d4611ef74d901d431556d1db19
hybrid,50% Inner-WIoU + 50% NWD,50,47,0.35938,0.2043,0.486329307041348,0.3755398069972839,0.3590641734443527,0.20419176005067105,0.12622092563472695,0.26683964876118776,0.30308639788853803,0.3927396733270938,2772349,19.1901696,4db4ac3d14938889a1a48e0281e277366fe973529f701eff2d4631e23d40efae
